Region,Market,Year ending December 2018,Year-ending-December-2019,2019 change,Year-ending-December-2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change
Lasseter,Total,403,459,14%,132,-71%,"1,250","1,485",19%,437,-71%,498,539,8%,126,-77%
Launceston and the North,International,119,116,-2%,27,-76%,772,"1,001",30%,212,-79%,77,125,62%,18,-86%
Launceston and the North,Domestic overnight,858,1021,19%,589,-42%,"2,552","2,740",7%,"1,893",-31%,571,640,12%,322,-50%
Launceston and the North,Domestic day,"2,082",2209,6%,1330,-40%,-,-,-100%,-,-100%,197,252,28%,222,-12%
Launceston and the North,Total,"3,059",3347,9%,1946,-42%,"3,324","3,740",13%,"2,105",-44%,845,"1,017",20%,561,-45%
Limestone Coast,International,43,45,4%,14,-69%,298,221,-26%,86,-61%,23,17,-28%,5,-70%
Limestone Coast,Domestic overnight,612,730,19%,500,-32%,"1,700","2,137",26%,"1,445",-32%,210,307,46%,242,-21%
Limestone Coast,Domestic day,812,740,-9%,650,-12%,-,-,-100%,-,-100%,97,97,1%,111,14%
Limestone Coast,Total,"1,468",1514,3%,1163,-23%,"1,998","2,358",18%,"1,531",-35%,330,421,27%,358,-15%
Litchfield Kakadu Arnhem,International,36,40,12%,NP,NP,186,198,7%,NP,NP,30,33,13%,NP,NP
Litchfield Kakadu Arnhem,Domestic overnight,297,330,11%,242,-27%,"1,130","1,137",1%,800,-30%,151,175,16%,117,-33%
Litchfield Kakadu Arnhem,Domestic day,409,507,24%,NP,NP,-,-,-100%,NP,NP,36,59,64%,NP,NP
Litchfield Kakadu Arnhem,Total,741,877,18%,530,-40%,"1,316","1,335",2%,820,-39%,217,267,23%,158,-41%
MacDonnell,International,9,13,39%,NP,NP,20,23,15%,NP,NP,9,8,-11%,NP,NP
MacDonnell,Domestic overnight,48,115,138%,NP,NP,179,294,64%,NP,NP,17,61,259%,NP,NP
MacDonnell,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
MacDonnell,Total,92,199,115%,NP,NP,199,317,59%,NP,NP,27,75,179%,NP,NP
Macedon,International,13,11,-15%,NP,NP,166,125,-25%,NP,NP,8,9,1%,NP,NP
Macedon,Domestic overnight,352,409,16%,181,-56%,807,754,-7%,384,-49%,103,83,-20%,44,-47%
Macedon,Domestic day,"1,257",1704,36%,1149,-33%,-,-,-100%,-,-100%,87,122,41%,68,-44%
Macedon,Total,"1,621",2124,31%,1333,-37%,972,878,-10%,439,-50%,198,213,8%,114,-46%
Mackay,International,56,48,-16%,7,-85%,418,418,0%,65,-84%,19,17,-12%,3,-84%
Mackay,Domestic overnight,"1,011",1063,5%,939,-12%,"3,991","4,380",10%,"3,905",-11%,523,515,-2%,400,-22%
Mackay,Domestic day,733,843,15%,788,-7%,-,-,-100%,-,-100%,116,126,9%,103,-18%
Mackay,Total,"1,800",1954,9%,1734,-11%,"4,409","4,798",9%,"3,970",-17%,658,658,0%,506,-23%
Mallee,International,23,26,9%,NP,NP,850,899,6%,NP,NP,30,43,44%,NP,NP
Mallee,Domestic overnight,793,858,8%,390,-55%,"2,515","2,593",3%,"1,268",-51%,385,355,-8%,176,-50%
Mallee,Domestic day,495,792,60%,392,-51%,-,-,-100%,-,-100%,82,129,57%,67,-48%
Mallee,Total,"1,311",1675,28%,787,-53%,"3,365","3,492",4%,"1,373",-61%,497,527,6%,248,-53%
Melbourne,International,"2,889",2967,3%,578,-81%,"64,745","63,277",-2%,"17,484",-72%,"7,887","8,215",4%,"2,340",-72%
Melbourne,Domestic overnight,"10,046",11435,14%,3543,-69%,"27,897","30,727",10%,"11,578",-62%,"8,448","9,525",13%,"2,617",-73%
Melbourne,Domestic day,"19,386",25076,29%,12288,-51%,-,-,-100%,-,-100%,"2,216","2,601",17%,"1,240",-52%
Melbourne,Total,"32,321",39478,22%,16409,-58%,"92,643","94,004",2%,"29,061",-69%,"18,551","20,341",10%,"6,198",-70%
Melbourne East,International,44,62,41%,13,-80%,816,"1,317",62%,234,-82%,58,59,2%,9,-85%
Melbourne East,Domestic overnight,628,835,33%,414,-50%,"1,506","2,019",34%,832,-59%,261,277,6%,103,-63%
Melbourne East,Domestic day,"4,057",4998,23%,1932,-61%,-,-,-100%,-,-100%,286,435,52%,148,-66%
Melbourne East,Total,"4,730",5895,25%,2358,-60%,"2,322","3,337",44%,"1,067",-68%,605,771,27%,260,-66%
Murray East,International,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Murray East,Domestic overnight,170,217,28%,96,-56%,392,700,79%,283,-60%,82,87,6%,48,-44%
Murray East,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Murray East,Total,335,476,42%,304,-36%,459,758,65%,293,-61%,103,118,15%,91,-23%
"Murray River, Lakes and Coorong",International,12,NP,NP,NP,NP,289,NP,NP,NP,NP,8,NP,NP,NP,NP
"Murray River, Lakes and Coorong",Domestic overnight,341,444,30%,364,-18%,844,"1,231",46%,833,-32%,92,157,71%,79,-50%
"Murray River, Lakes and Coorong",Domestic day,901,1223,36%,925,-24%,-,-,-100%,-,-100%,55,118,113%,56,-52%
"Murray River, Lakes and Coorong",Total,"1,253",1675,34%,1293,-23%,"1,133","1,347",19%,860,-36%,155,281,81%,137,-51%
New England North West,International,36,38,6%,7,-82%,904,"1,014",12%,390,-62%,62,49,-21%,18,-64%
New England North West,Domestic overnight,"1,618",1744,8%,1115,-36%,"4,252","4,740",12%,"3,164",-33%,631,719,14%,454,-37%
New England North West,Domestic day,"1,682",2286,36%,1633,-29%,-,-,-100%,-,-100%,251,336,34%,220,-35%
New England North West,Total,"3,335",4067,22%,2755,-32%,"5,156","5,754",12%,"3,554",-38%,944,"1,104",17%,692,-37%
North Coast NSW,International,355,375,6%,68,-82%,"3,770","4,171",11%,755,-82%,230,265,15%,44,-83%
North Coast NSW,Domestic overnight,"5,707",6402,12%,4305,-33%,"20,925","24,293",16%,"18,471",-24%,"3,483","3,948",13%,"3,004",-24%
