Region,Financial year,Gross value added ($M),Employed persons ('000),Gross value added share,Employed persons share
 Lasseter ,2017-18,148.00,0.5,95.30%,33.10%
 Launceston and the North ,2019-20,258.00,4.3,3.40%,6.70%
 Launceston and the North ,2018-19,323.00,4.9,4.30%,7.60%
 Launceston and the North ,2017-18,285.00,4.5,4.00%,7.00%
 Limestone Coast ,2019-20,124.00,2.1,3.10%,6.40%
 Limestone Coast ,2018-19,137.00,2.1,3.60%,6.10%
 Limestone Coast ,2017-18,128.00,2.1,3.50%,6.20%
 Litchfield Litchfield Kakadu Arnhem ,2019-20,64.00,1.2,1.20%,12.40%
 Litchfield Litchfield Kakadu Arnhem ,2018-19,89.00,1.4,2.60%,14.50%
 Litchfield Litchfield Kakadu Arnhem ,2017-18,79.00,1.2,3.80%,12.60%
 MacDonnell ,2019-20,13.00,0.2,0.70%,3.80%
 MacDonnell ,2018-19,16.00,0.2,1.20%,4.00%
 MacDonnell ,2017-18,14.00,0.1,1.60%,3.50%
 Macedon ,2019-20,61.00,1.3,2.60%,5.10%
 Macedon ,2018-19,71.00,1.4,3.10%,5.50%
 Macedon ,2017-18,67.00,1.3,3.10%,5.50%
 Mackay ,2019-20,184.00,2.6,0.90%,3.20%
 Mackay ,2018-19,235.00,2.9,1.00%,3.60%
 Mackay ,2017-18,206.00,2.6,1.00%,3.30%
 Mallee ,2019-20,144.00,3.2,3.40%,7.30%
 Mallee ,2018-19,176.00,3.4,4.20%,7.80%
 Mallee ,2017-18,164.00,3.4,4.10%,8.20%
 Melbourne ,2019-20,7502.00,88.6,2.20%,3.60%
 Melbourne ,2018-19,9090.00,95.6,2.70%,4.00%
 Melbourne ,2017-18,8254.00,91.8,2.60%,3.90%
 Melbourne East ,2019-20,253.00,5.2,2.80%,5.40%
 Melbourne East ,2018-19,357.00,6.3,4.00%,6.60%
 Melbourne East ,2017-18,287.00,5.5,3.50%,5.80%
 Murray East ,2019-20,50.00,0.8,1.90%,3.20%
 Murray East ,2018-19,50.00,0.7,1.90%,2.80%
 Murray East ,2017-18,45.00,0.6,1.90%,2.70%
" Murray River, Lakes and Coorong ",2019-20,73.00,1.5,4.00%,8.70%
" Murray River, Lakes and Coorong ",2018-19,74.00,1.3,4.00%,7.40%
" Murray River, Lakes and Coorong ",2017-18,64.00,1.1,3.70%,6.70%
 New England North West ,2019-20,296.00,5,2.90%,5.40%
 New England North West ,2018-19,350.00,5.4,3.40%,5.80%
 New England North West ,2017-18,362.00,5.6,3.50%,6.20%
 North Coast NSW ,2019-20,1468.00,23.7,6.00%,9.50%
 North Coast NSW ,2018-19,1671.00,24.3,6.90%,9.60%
 North Coast NSW ,2017-18,1744.00,25.3,7.40%,10.40%
 North West ,2019-20,217.00,3.4,3.70%,6.90%
 North West ,2018-19,266.00,3.8,4.60%,7.70%
 North West ,2017-18,259.00,3.9,4.80%,8.00%
 Outback NSW ,2019-20,83.00,1.7,3.00%,8.60%
 Outback NSW ,2018-19,95.00,1.8,3.20%,8.90%
 Outback NSW ,2017-18,87.00,1.7,3.00%,8.50%
 Outback Queensland ,2019-20,173.00,2.7,1.50%,5.70%
 Outback Queensland ,2018-19,231.00,3.1,1.80%,6.50%
 Outback Queensland ,2017-18,220.00,3.1,1.80%,6.50%
 Peninsula ,2019-20,435.00,8.4,3.80%,7.10%
 Peninsula ,2018-19,542.00,9.1,4.70%,7.70%
 Peninsula ,2017-18,492.00,8.8,4.60%,7.80%
 Phillip Island ,2019-20,188.00,3.8,16.30%,29.90%
 Phillip Island ,2018-19,257.00,4.5,22.70%,35.60%
 Phillip Island ,2017-18,193.00,3.7,18.00%,30.20%
 Riverina ,2019-20,211.00,3.7,2.50%,4.60%
 Riverina ,2018-19,242.00,3.8,2.80%,4.80%
 Riverina ,2017-18,250.00,4,2.90%,5.20%
 Riverland ,2019-20,58.00,1.1,3.30%,6.80%
 Riverland ,2018-19,67.00,1.1,3.90%,7.10%
 Riverland ,2017-18,67.00,1.2,4.10%,7.40%
 Snowy Mountains ,2019-20,211.00,4.3,10.00%,22.00%
 Snowy Mountains ,2018-19,248.00,4.5,11.80%,23.00%
 Snowy Mountains ,2017-18,289.00,5.3,13.70%,27.70%
 South Coast ,2019-20,979.00,14.5,4.50%,7.40%
 South Coast ,2018-19,1138.00,15.3,5.30%,7.70%
 South Coast ,2017-18,1129.00,15.2,5.50%,7.90%
 Southern Queensland Country ,2019-20,375.00,6.3,2.10%,4.40%
 Southern Queensland Country ,2018-19,464.00,6.8,2.50%,4.70%
 Southern Queensland Country ,2017-18,481.00,7.2,2.60%,5.10%
 Spa Country ,2019-20,70.00,2.6,13.90%,41.00%
 Spa Country ,2018-19,83.00,2.8,16.60%,44.70%
 Spa Country ,2017-18,72.00,2.5,15.60%,42.20%
 Sunshine Coast ,2019-20,1130.00,16.1,6.00%,8.90%
 Sunshine Coast ,2018-19,1397.00,17.4,7.30%,9.70%
 Sunshine Coast ,2017-18,1303.00,16.6,7.10%,9.40%
 Sydney ,2019-20,8312.00,81.8,2.00%,3.10%
 Sydney ,2018-19,10361.00,91.9,2.50%,3.40%
 Sydney ,2017-18,9820.00,89.3,2.50%,3.50%
 The Murray ,2019-20,211.00,3.8,3.40%,6.30%
 The Murray ,2018-19,234.00,3.8,3.80%,6.30%
 The Murray ,2017-18,239.00,3.9,3.90%,6.70%
 Townsville ,2019-20,394.00,5.8,2.70%,4.80%
 Townsville ,2018-19,455.00,5.8,3.10%,4.80%
 Townsville ,2017-18,443.00,5.8,3.20%,4.90%
 Tropical North Queensland ,2019-20,1318.00,18.1,8.50%,13.10%
 Tropical North Queensland ,2018-19,1551.00,18.2,9.70%,13.20%
 Tropical North Queensland ,2017-18,1591.00,19.4,10.30%,14.30%
 Upper Yarra ,2019-20,42.00,0.9,8.70%,17.80%
 Upper Yarra ,2018-19,42.00,0.9,8.90%,16.20%
 Upper Yarra ,2017-18,37.00,0.8,8.30%,15.20%
 West Coast ,2019-20,48.00,0.5,8.00%,21.80%
 West Coast ,2018-19,41.00,0.3,7.50%,14.10%
 West Coast ,2017-18,37.00,0.3,9.20%,13.00%
 Western Grampians ,2019-20,63.00,1.6,2.90%,7.20%
 Western Grampians ,2018-19,71.00,1.6,3.30%,7.30%
 Western Grampians ,2017-18,59.00,1.4,2.90%,6.50%
 Whitsundays ,2019-20,310.00,4.2,12.30%,22.30%
 Whitsundays ,2018-19,366.00,4.2,13.50%,22.40%
 Whitsundays ,2017-18,367.00,4.3,14.00%,23.70%
 Wimmera ,2019-20,21.00,0.8,2.40%,7.80%
 Wimmera ,2018-19,18.00,0.6,2.10%,6.10%
 Wimmera ,2017-18,16.00,0.5,2.00%,5.80%
 Yorke Peninsula ,2019-20,77.00,1.6,4.00%,10.10%
 Yorke Peninsula ,2018-19,72.00,1.4,3.90%,8.70%
 Yorke Peninsula ,2017-18,76.00,1.5,4.30%,9.40%
